storeName,address,province,city,longitude,latitude,外国餐厅,中餐厅,茶艺馆,甜品店,娱乐场所,咖啡厅,冷饮店,快餐厅,住宅区,楼宇,商场,培训机构,学校
storeName,address,province,city,longitude,latitude,050200,050100,050600,050900,080304,050500,050700,050300,120300,120200,060100,141400,141205
青岛佳世客店,"青岛市香港中路72号",山东省,青岛市,120.397266,36.063291,24,91,3,7,9,20,5,73,25,21,7,60,0
武汉宝利金店,"武汉市江汉区花楼街198号1楼",湖北省,武汉市,114.29272919,30.57819241,34,475,3,10,7,25,52,237,66,33,14,27,0
南洋1931店,"上海市徐汇区裕德路165号1层F1-04单元",上海市,上海市,121.43272897,31.1861436,20,93,1,1,5,18,7,38,62,43,5,62,9
重庆东源1891店,"重庆市南岸区南滨路80号东原1891项目1F",重庆市,重庆市,106.58861,29.545024,9,99,7,1,10,6,1,12,14,8,3,2,0
佛山中海环宇城店,"佛山市南海区桂澜中路 18 号环宇城地上层L123铺",广东省,佛山市,113.156565,23.043918,17,57,4,2,3,6,4,33,11,5,2,17,0
殷高西路地铁站店,"上海市宝山区殷高西路10弄2号101、102-1室",上海市,上海市,121.484328388906,31.3202891361778,1,46,1,0,1,3,2,40,47,9,0,7,0
宁波开元大酒店店,"浙江省宁波市鄞州区百丈东路812号",浙江省,宁波市,121.580671191804,29.8595051161759,3,49,3,0,0,6,3,23,35,18,2,28,7
丹东万达广场店,"丹东市振兴区锦山大街298号万达广场层1号门",辽宁省,丹东市,124.36609968,40.11088139,23,92,1,9,1,6,18,48,11,5,1,26,0
深圳市深圳湾万象城店,"广东省深圳市南山区华润深圳湾万象城L185、L212号商铺",广东省,深圳市,113.945909142494,22.5170417228221,1,11,0,3,1,5,1,8,2,8,3,19,0
长沙万家丽购物中心店,"湖南省长沙市芙蓉区万家丽路99号购物中心一楼",湖南省,长沙市,113.03125815,28.19062487,25,257,9,5,3,5,11,147,25,10,6,43,0
广州粤海仰忠汇店,"广州市越秀区北京路168号负一层B008",广东省,广州市,113.27032215,23.11915427,53,318,8,16,20,33,52,70,87,36,15,54,2
银川新华百货店,"宁夏回族自治区银川市兴庆区新华东街97号新华百货一层",宁夏回族自治区,银川市,106.28142215,38.4614624,13,291,1,4,7,13,28,121,23,15,22,33,0
德州澳德乐广场店,"山东省德州市经济开发区东风东路1899号澳德乐时代广场一层F1101",山东省,德州市,116.3661256,37.42954078,11,49,0,4,1,3,4,47,3,0,2,5,0
嘉兴合乐城店,"浙江省嘉兴市中环东路1468号B区第一层B101单元",浙江省,嘉兴市,120.78140128,30.75572536,6,80,2,0,1,1,1,30,13,1,2,31,0
凤凰园店,"上海古美路1515号19号楼102B室",上海市,上海市,121.39782972,31.1614808,9,65,1,0,0,13,7,46,25,20,1,7,0
重庆金贸中心店,"重庆市北部新区栖霞路16号",重庆市,重庆市,106.566942930221,29.6389682704206,15,166,8,0,2,8,5,57,14,8,1,54,2
漕河泾2店,"上海市徐汇区桂平路391号",上海市,上海市,121.40361,31.163797,13,19,2,0,0,7,1,19,12,17,0,7,0
河源万隆城店,"广东省河源市中山大道 218 号万隆城地上首层自编 L1002 单元",广东省,河源市,114.70598221,23.7577158299999,8,96,3,0,3,4,7,43,24,6,3,27,0
杭州下沙宝龙店,"浙江省杭州市江干区下沙宝龙城市广场1F-015号商铺",浙江省,杭州市,120.38477,30.311497,24,205,2,15,4,5,31,144,10,4,3,9,0
畹町路店,"上海市闵行区畹町路118号-122号",上海市,上海市,121.402283,31.105627,2,22,0,0,0,4,0,4,15,2,1,13,0
